#tau_s	sigma2_x	sigma2_y	sigma2_z	K_used
410	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
411	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
412	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
413	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
414	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
415	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
416	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
417	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
418	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
419	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
420	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
421	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
422	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
423	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
424	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
425	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
426	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
427	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
428	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
429	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
430	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
431	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
432	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
433	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
434	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
435	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
436	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
437	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
438	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
439	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
440	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
441	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
442	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
443	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
444	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
445	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
446	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
447	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
448	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
449	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
450	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
451	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
452	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
453	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
454	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
455	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
456	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
457	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
458	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
459	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
460	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
461	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
462	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
463	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
464	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
465	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
466	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
467	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
468	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
469	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
470	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
471	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
472	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
473	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
474	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
475	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
476	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
477	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
478	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
479	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
480	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
481	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
482	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
483	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
484	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
485	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
486	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
487	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
488	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
489	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
490	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
491	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
492	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
493	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
494	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
495	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
496	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
497	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
498	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
499	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
500	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
501	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
502	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
503	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
504	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
505	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
506	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
507	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
508	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
509	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
510	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
511	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
512	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
513	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
514	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
515	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
516	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
517	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
518	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
519	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
520	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
521	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
522	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
523	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
524	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
525	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
526	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
527	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
528	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
529	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
530	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
531	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
532	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
533	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
534	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
535	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
536	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
537	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
538	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
539	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
540	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
541	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
542	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
543	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
544	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
545	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
546	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
547	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
548	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
549	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
550	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
551	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
552	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
553	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
554	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
555	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
556	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
557	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
558	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
559	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
560	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
561	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
562	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
563	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
564	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
565	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
566	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
567	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
568	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
569	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
570	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
571	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
572	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
573	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
574	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
575	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
576	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
577	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
578	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
579	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
580	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
581	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
582	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
583	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
584	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
585	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
586	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
587	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
588	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
589	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
590	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
591	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
592	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
593	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
594	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
595	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
596	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
597	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
598	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
599	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
600	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
601	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
602	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
603	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
604	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
605	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
606	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
607	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
608	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
609	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
610	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
611	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
612	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
613	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
614	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
615	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
616	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
617	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
618	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
619	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
620	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
621	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
622	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
623	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
624	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
625	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
626	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
627	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
628	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
629	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
630	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
631	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
632	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
633	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
634	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
635	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
636	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
637	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
638	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
639	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
640	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
641	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
642	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
643	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
644	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
645	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
646	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
647	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
648	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
649	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
650	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
651	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
652	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
653	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
654	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
655	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
656	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
657	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
658	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
659	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
660	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
661	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
662	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
663	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
664	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
665	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
666	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
667	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
668	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
669	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
670	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
671	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
672	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
673	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
674	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
675	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
676	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
677	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
678	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
679	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
680	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
681	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
682	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
683	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
684	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
685	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
686	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
687	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
688	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
689	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
690	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
691	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
692	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
693	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
694	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
695	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
696	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
697	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
698	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
699	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
700	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
701	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
702	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
703	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
704	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
705	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
706	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
707	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
708	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
709	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
710	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
711	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
712	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
713	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
714	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
715	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
716	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
717	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
718	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
719	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
720	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
721	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
722	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
723	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
724	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
725	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
726	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
727	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
728	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
729	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
730	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
731	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
732	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
733	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
734	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
735	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
736	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
737	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
738	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
739	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
740	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
741	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
742	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
743	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
744	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
745	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
746	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
747	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
748	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
749	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
750	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
751	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
752	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
753	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
754	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
755	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
756	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
757	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
758	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
759	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
760	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
761	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
762	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
763	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
764	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
765	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
766	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
767	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
768	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
769	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
770	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
771	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
772	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
773	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
774	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
775	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
776	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
777	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
778	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
779	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
780	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
781	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
782	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
783	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
784	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
785	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
786	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
787	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
788	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
789	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
790	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
791	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
792	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
793	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
794	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
795	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
796	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
797	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
798	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
799	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
800	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
801	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
802	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
803	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
804	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
805	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
806	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
807	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
808	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
809	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
810	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
811	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
812	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
813	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
814	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
815	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
816	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
817	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
818	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
819	0.000000000000e+00	0.000000000000e+00	0.000000000000e+00	0
